Unnamed: 0,Name,City,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,Reviews,URL_TA,ID_TA
17343,Barbara's Brazilian Kitchen,London,,,,,,,/Restaurant_Review-g186338-d5814610-Reviews-Barbara_s_Brazilian_Kitchen-London_England.html,d5814610
354,Va.Do al Pigneto,Rome,"['Italian', 'Seafood', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",355.0,4.5,$$ - $$$,214.0,"[['Excellent meal...the ravioli, the tiramisu...', 'Innovative cooking on the highest level wi...'], ['10/24/2017', '09/27/2017']]",/Restaurant_Review-g187791-d10261562-Reviews-Va_Do_al_Pigneto-Rome_Lazio.html,d10261562
9334,Le Barometre,Paris,"['French', 'European']",9336.0,3.5,$$ - $$$,49.0,"[['Very Nice', 'Good Option'], ['03/05/2017', '04/14/2016']]",/Restaurant_Review-g187147-d718800-Reviews-Le_Barometre-Paris_Ile_de_France.html,d718800
1140,Saiko Sushi,Warsaw,"['Japanese', 'Sushi', 'Asian', 'Korean', 'Soups']",1142.0,5.0,$$ - $$$,,"[[], []]",/Restaurant_Review-g274856-d10901158-Reviews-Saiko_Sushi-Warsaw_Mazovia_Province_Central_Poland.html,d10901158
649,Le Briey,Lyon,,650.0,4.5,,27.0,"[['Fantastic place to eat', 'Excellent casual meal'], ['07/17/2017', '07/17/2016']]",/Restaurant_Review-g187265-d5798148-Reviews-Le_Briey-Lyon_Rhone_Auvergne_Rhone_Alpes.html,d5798148
4217,Restaurant Haru,Milan,"['Chinese', 'Japanese', 'Sushi']",4220.0,3.5,,87.0,"[[], []]",/Restaurant_Review-g187849-d10151938-Reviews-Restaurant_Haru-Milan_Lombardy.html,d10151938
2037,Arisu,Munich,"['Asian', 'Korean']",2053.0,3.5,$$ - $$$,32.0,"[['Excellent food to eat in or take away', 'The only authentic Korean cuisine in Munic...'], ['01/01/2018', '11/07/2017']]",/Restaurant_Review-g187309-d4331627-Reviews-Arisu-Munich_Upper_Bavaria_Bavaria.html,d4331627
4468,Heidekrug,Berlin,,4470.0,4.0,,4.0,"[[], []]",/Restaurant_Review-g187323-d5518590-Reviews-Heidekrug-Berlin.html,d5518590
1968,Cilantro Madrid,Madrid,"['Mediterranean', 'Spanish']",1970.0,4.0,$$ - $$$,145.0,"[['Really cool hamburgers', 'Awesome burgers and T-bone steak... Top ch...'], ['10/04/2017', '08/31/2017']]",/Restaurant_Review-g187514-d4973480-Reviews-Cilantro_Madrid-Madrid.html,d4973480
1223,Pan & Cake Pizzeria Creperia,Krakow,"['Italian', 'Polish', 'Pizza', 'European', 'Polynesian']",1224.0,2.0,$,2.0,"[[], []]",/Restaurant_Review-g274772-d12950663-Reviews-Pan_Cake_Pizzeria_Creperia-Krakow_Lesser_Poland_Province_Southern_Poland.html,d12950663
2033,Crepes a la Carte,London,"['French', 'Vegetarian Friendly', 'Vegan Options']",2037.0,4.5,$,43.0,"[['Excellent', 'Wonderful'], ['12/31/2017', '12/23/2017']]",/Restaurant_Review-g186338-d5815530-Reviews-Crepes_a_la_Carte-London_England.html,d5815530
